DEP,%Petite,%Moyenne,%Grande,%Ainés,%Enfants,%Juniors,%Masters,%Séniors,indus,const,CTRH,InfoComm,STServAdmi,AutreServ,loyerm2
75,84.14,12.62,3.25,10.72,19.49,18.05,28.74,22.99,3,6,22,9,32,5,31.0
92,71.77,19.94,8.29,9.63,25.44,13.62,28.09,23.22,3,7,23,9,28,6,21.37
69,81.03,15.6,3.36,10.82,25.98,14.99,27.88,20.33,5,10,25,4,23,6,10.23
59,80.61,15.84,3.55,9.94,27.06,13.52,29.76,19.72,5,10,30,3,17,8,10.19
13,82.1,15.17,2.73,12.87,24.3,11.89,31.57,19.36,5,12,28,3,18,7,13.42
44,79.62,17.27,3.12,10.83,26.14,12.13,30.61,20.29,6,12,24,3,19,8,9.58
93,79.67,15.43,4.9,7.35,29.27,14.25,26.8,22.32,3,20,37,4,15,5,17.11
31,81.2,15.53,3.27,10.45,24.37,14.98,29.13,21.07,4,13,24,3,19,8,9.23
94,79.46,15.68,4.86,9.56,26.06,13.71,28.85,21.82,3,12,30,6,21,7,18.2
33,83.24,14.35,2.41,11.79,23.86,12.84,31.4,20.1,5,13,27,3,18,8,9.69
78,79.38,16.19,4.44,9.98,27.3,11.52,30.56,20.65,3,11,24,6,24,7,14.81
91,79.22,16.69,4.09,9.2,27.83,12.48,29.66,20.83,4,15,29,5,19,7,14.38
76,81.4,15.15,3.45,11.87,25.29,12.34,31.8,18.69,6,12,30,2,15,9,9.84
38,82.16,15.05,2.79,11.18,26.26,11.9,30.68,19.98,6,14,25,3,17,8,10.04
77,82.38,14.51,3.11,8.0,28.32,12.56,29.93,21.2,5,15,30,4,17,8,12.64
35,80.85,16.19,2.96,10.94,26.28,13.1,29.58,20.1,6,10,25,3,18,8,8.09
67,82.58,13.89,3.53,11.14,24.04,12.94,31.86,20.02,6,12,27,3,17,8,10.06
62,81.69,15.8,2.51,11.04,26.64,11.5,31.55,19.27,6,13,31,1,13,10,9.43
95,81.48,15.11,3.41,7.92,28.75,13.23,29.11,20.99,4,16,33,5,18,6,14.74
06,86.33,11.71,1.96,16.31,21.52,10.69,32.87,18.61,4,14,27,3,19,8,12.88
49,80.91,16.5,2.58,11.92,26.68,11.58,30.75,19.07,8,12,25,2,16,9,7.87
57,82.73,14.02,3.25,12.14,23.17,11.68,33.42,19.6,6,15,29,2,13,10,8.98
34,85.41,12.52,2.07,13.25,23.38,12.81,31.63,18.94,5,15,27,3,16,8,10.17
60,79.48,16.89,3.63,9.55,27.19,11.3,31.49,20.46,6,14,30,2,16,9,11.19
29,83.58,13.96,2.46,13.99,23.53,10.1,33.97,18.41,8,13,27,2,14,8,8.28
45,80.56,15.61,3.83,12.26,25.53,11.25,31.65,19.31,6,14,29,2,16,10,9.38
42,83.81,14.19,2.0,13.93,24.72,11.05,32.1,18.2,8,14,28,2,14,8,7.6
85,81.49,15.2,3.31,13.73,24.36,9.06,34.01,18.85,9,14,27,1,14,9,8.65
74,86.48,11.72,1.8,10.0,25.48,11.54,30.85,22.12,5,13,25,2,16,9,13.9
68,83.8,13.5,2.7,11.74,24.49,10.99,32.91,19.87,7,12,30,2,15,9,10.36
14,82.69,14.4,2.9,12.64,24.89,11.27,32.63,18.58,6,13,30,2,15,9,9.69
51,81.03,16.19,2.78,11.39,25.02,12.82,31.7,19.07,8,12,28,2,15,9,8.62
83,86.45,12.01,1.53,16.54,21.69,9.62,34.6,17.55,5,16,28,1,16,8,11.82
56,83.63,14.21,2.16,14.55,23.72,9.11,34.48,18.15,8,13,27,2,15,9,8.26
01,82.46,15.64,1.91,10.41,26.79,10.43,31.67,20.7,8,15,26,2,15,9,9.68
54,82.75,14.37,2.87,11.93,24.2,13.23,31.34,19.3,7,13,28,2,14,9,8.61
21,81.93,15.11,2.96,12.57,23.69,12.78,32.32,18.65,6,12,29,2,17,8,8.41
64,85.48,12.47,2.05,15.38,21.81,10.08,34.02,18.71,6,13,25,2,16,9,8.82
63,83.19,13.76,3.05,13.08,22.54,12.06,33.58,18.75,7,14,28,2,14,9,8.06
26,82.78,14.96,2.25,13.31,24.92,10.07,33.01,18.69,8,14,28,2,14,9,8.82
37,83.73,13.86,2.41,13.31,24.32,11.65,32.08,18.64,6,12,26,3,16,9,8.37
72,80.42,16.15,3.43,13.4,25.44,10.35,32.34,18.47,8,13,28,2,14,10,7.57
80,81.14,15.47,3.39,11.53,25.22,12.2,31.98,19.07,7,12,31,2,13,9,9.59
71,82.9,14.08,3.01,16.02,22.4,8.95,35.09,17.54,8,14,30,1,14,9,7.89
73,85.51,13.01,1.48,12.42,24.1,10.81,32.85,19.82,5,12,25,1,14,8,10.47
25,83.68,14.04,2.28,12.1,25.21,12.48,30.7,19.5,8,12,28,2,14,9,9.08
30,84.36,13.9,1.74,14.03,24.09,9.72,33.97,18.19,6,16,29,2,14,9,9.6
22,83.33,15.12,1.55,15.77,23.6,8.51,34.68,17.44,7,14,29,2,14,8,7.69
84,85.22,12.87,1.92,13.45,24.43,10.45,33.58,18.09,6,16,29,2,15,8,10.47
27,82.42,14.26,3.32,10.96,26.73,10.03,32.41,19.87,7,17,29,2,15,10,10.03
17,86.46,12.1,1.44,16.56,21.48,8.95,35.64,17.37,7,14,29,2,14,9,8.85
02,82.28,14.73,2.99,11.85,25.82,10.75,32.99,18.59,7,15,29,1,13,10,8.69
28,82.44,15.24,2.32,12.11,25.92,9.9,32.45,19.61,7,15,29,3,16,9,9.86
50,84.2,13.15,2.64,15.32,23.3,9.5,34.56,17.32,8,12,31,1,13,10,8.07
79,82.21,15.06,2.73,14.41,23.89,8.99,33.89,18.83,9,14,26,2,13,9,7.36
86,83.41,13.52,3.07,13.72,23.9,11.98,32.14,18.26,8,13,26,2,15,10,7.65
53,80.54,15.49,3.97,13.49,26.32,9.7,31.95,18.54,9,13,26,2,17,9,6.93
16,82.88,14.88,2.24,15.51,21.84,9.24,35.86,17.54,9,15,29,2,13,10,8.05
88,84.71,12.52,2.77,14.0,23.38,9.46,35.18,17.98,10,15,30,1,12,9,7.41
41,82.08,14.77,3.15,15.41,23.56,9.03,34.18,17.82,8,14,29,2,14,9,8.19
87,84.28,13.41,2.31,15.42,21.97,10.9,33.77,17.95,8,13,27,2,14,10,7.6
66,87.06,10.98,1.96,16.52,22.81,9.51,33.83,17.33,5,15,30,2,13,9,9.47
10,83.01,14.55,2.44,13.24,24.64,10.96,32.68,18.48,8,14,29,2,14,10,7.44
81,84.77,13.6,1.63,16.16,22.96,9.0,34.38,17.5,9,14,26,2,13,9,8.34
03,83.84,13.76,2.4,17.3,21.26,8.75,35.72,16.97,8,14,32,1,12,9,7.41
89,83.96,13.39,2.65,14.53,23.81,9.05,34.61,18.01,8,15,29,2,14,9,8.33
40,86.22,12.12,1.66,15.02,22.07,8.74,35.55,18.61,7,13,28,1,14,10,8.85
24,86.44,11.88,1.69,17.65,20.33,7.95,37.55,16.51,8,16,31,1,13,9,8.11
61,83.0,14.9,2.1,15.51,23.47,9.18,34.78,17.06,9,16,28,1,13,10,7.56
47,86.65,12.43,0.92,16.9,22.06,9.01,35.08,16.95,8,15,29,1,14,9,8.18
18,84.06,13.36,2.58,15.73,22.14,9.32,35.46,17.35,9,14,29,1,13,10,7.37
12,85.74,13.57,0.69,17.33,21.4,8.47,35.65,17.16,11,15,28,1,13,8,7.5
39,85.82,12.41,1.77,14.24,24.07,9.31,33.81,18.57,11,14,29,1,12,9,8.09
11,87.04,12.1,0.86,16.21,22.51,8.62,35.14,17.52,6,15,32,1,12,9,8.33
19,85.07,12.58,2.35,17.7,20.71,8.72,35.66,17.21,9,15,29,1,13,9,7.54
07,84.95,12.58,2.47,14.47,23.43,8.72,35.39,17.99,9,16,30,1,12,9,8.26
08,84.87,12.9,2.22,12.6,24.68,10.28,33.9,18.55,10,15,31,1,11,10,8.07
36,83.89,14.1,2.01,17.78,21.03,8.28,36.33,16.59,9,14,29,1,13,10,7.08
70,83.0,14.86,2.14,13.18,24.32,8.8,34.92,18.77,9,16,30,1,12,9,7.57
43,85.97,12.78,1.24,13.82,23.71,8.79,35.26,18.42,12,15,28,1,11,8,7.0
65,85.49,13.06,1.45,17.31,21.25,8.79,35.83,16.82,6,14,29,1,12,9,8.56
58,82.75,15.43,1.82,17.88,20.28,8.73,37.26,15.85,8,15,31,1,12,10,7.58
82,86.48,11.98,1.54,14.04,24.84,8.87,33.18,19.07,6,16,28,1,14,9,8.38
52,84.13,13.2,2.67,15.52,22.13,9.78,35.25,17.32,11,14,31,1,11,10,7.11
90,79.46,16.39,4.15,11.97,25.05,12.37,31.24,19.37,6,15,28,2,14,10,9.27
55,85.15,11.26,3.58,13.54,23.99,9.68,34.64,18.15,10,15,29,1,11,10,7.52
32,85.97,12.58,1.45,17.88,21.09,7.76,36.54,16.73,8,16,27,1,14,8,8.22
46,86.21,11.95,1.84,18.67,20.15,7.62,37.19,16.38,9,16,29,1,13,9,8.01
15,86.25,12.64,1.12,17.41,19.74,8.35,37.28,17.22,9,15,33,1,11,7,7.11
2B,90.3,9.13,0.57,14.93,21.05,10.75,33.66,19.6,6,17,30,1,14,7,10.64
2A,90.12,9.0,0.88,15.17,20.99,10.63,33.56,19.66,5,18,31,1,15,7,11.96
05,89.86,9.67,0.48,14.53,23.0,8.84,35.16,18.48,6,12,26,1,11,10,9.04
09,87.05,11.89,1.06,16.42,21.43,8.26,36.3,17.58,10,16,27,1,12,9,8.14
04,89.0,9.65,1.35,16.19,22.02,8.81,36.26,16.71,7,15,30,1,14,9,9.16
23,84.8,13.98,1.22,19.34,18.88,7.99,38.27,15.52,11,15,28,1,12,10,7.04
48,85.45,14.18,0.37,15.35,21.8,9.61,35.55,17.68,10,15,33,1,10,8,7.65
