,DEP,%Ainés,%Enfants,%Juniors,%Masters,%Séniors
0,59,9.94,27.06,13.52,29.76,19.72
1,75,10.72,19.49,18.05,28.74,22.99
2,13,12.87,24.3,11.89,31.57,19.36
3,69,10.82,25.98,14.99,27.88,20.33
4,33,11.79,23.86,12.84,31.4,20.1
5,62,11.04,26.64,11.5,31.55,19.27
6,92,9.63,25.44,13.62,28.09,23.22
7,78,9.98,27.3,11.52,30.56,20.65
8,93,7.35,29.27,14.25,26.8,22.32
9,77,8.0,28.32,12.56,29.93,21.2
10,44,10.83,26.14,12.13,30.61,20.29
11,76,11.87,25.29,12.34,31.8,18.69
12,94,9.56,26.06,13.71,28.85,21.82
13,31,10.45,24.37,14.98,29.13,21.07
14,38,11.18,26.26,11.9,30.68,19.98
15,91,9.2,27.83,12.48,29.66,20.83
16,83,16.54,21.69,9.62,34.6,17.55
17,06,16.31,21.52,10.69,32.87,18.61
18,95,7.92,28.75,13.23,29.11,20.99
19,67,11.14,24.04,12.94,31.86,20.02
20,34,13.25,23.38,12.81,31.63,18.94
21,57,12.14,23.17,11.68,33.42,19.6
22,29,13.99,23.53,10.1,33.97,18.41
23,35,10.94,26.28,13.1,29.58,20.1
24,60,9.55,27.19,11.3,31.49,20.46
25,56,14.55,23.72,9.11,34.48,18.15
26,30,14.03,24.09,9.72,33.97,18.19
27,68,11.74,24.49,10.99,32.91,19.87
28,49,11.92,26.68,11.58,30.75,19.07
29,42,13.93,24.72,11.05,32.1,18.2
30,74,10.0,25.48,11.54,30.85,22.12
31,54,11.93,24.2,13.23,31.34,19.3
32,17,16.56,21.48,8.95,35.64,17.37
33,64,15.38,21.81,10.08,34.02,18.71
34,85,13.73,24.36,9.06,34.01,18.85
35,14,12.64,24.89,11.27,32.63,18.58
36,63,13.08,22.54,12.06,33.58,18.75
37,45,12.26,25.53,11.25,31.65,19.31
38,22,15.77,23.6,8.51,34.68,17.44
39,01,10.41,26.79,10.43,31.67,20.7
40,37,13.31,24.32,11.65,32.08,18.64
41,71,16.02,22.4,8.95,35.09,17.54
42,27,10.96,26.73,10.03,32.41,19.87
43,84,13.45,24.43,10.45,33.58,18.09
44,72,13.4,25.44,10.35,32.34,18.47
45,80,11.53,25.22,12.2,31.98,19.07
46,51,11.39,25.02,12.82,31.7,19.07
47,02,11.85,25.82,10.75,32.99,18.59
48,50,15.32,23.3,9.5,34.56,17.32
49,21,12.57,23.69,12.78,32.32,18.65
50,26,13.31,24.92,10.07,33.01,18.69
51,25,12.1,25.21,12.48,30.7,19.5
52,66,16.52,22.81,9.51,33.83,17.33
53,24,17.65,20.33,7.95,37.55,16.51
54,40,15.02,22.07,8.74,35.55,18.61
55,28,12.11,25.92,9.9,32.45,19.61
56,73,12.42,24.1,10.81,32.85,19.82
57,86,13.72,23.9,11.98,32.14,18.26
58,81,16.16,22.96,9.0,34.38,17.5
59,88,14.0,23.38,9.46,35.18,17.98
60,11,16.21,22.51,8.62,35.14,17.52
61,87,15.42,21.97,10.9,33.77,17.95
62,79,14.41,23.89,8.99,33.89,18.83
63,16,15.51,21.84,9.24,35.86,17.54
64,03,17.3,21.26,8.75,35.72,16.97
65,47,16.9,22.06,9.01,35.08,16.95
66,89,14.53,23.81,9.05,34.61,18.01
67,41,15.41,23.56,9.03,34.18,17.82
68,07,14.47,23.43,8.72,35.39,17.99
69,18,15.73,22.14,9.32,35.46,17.35
70,10,13.24,24.64,10.96,32.68,18.48
71,53,13.49,26.32,9.7,31.95,18.54
72,12,17.33,21.4,8.47,35.65,17.16
73,61,15.51,23.47,9.18,34.78,17.06
74,08,12.6,24.68,10.28,33.9,18.55
75,39,14.24,24.07,9.31,33.81,18.57
76,19,17.7,20.71,8.72,35.66,17.21
77,82,14.04,24.84,8.87,33.18,19.07
78,70,13.18,24.32,8.8,34.92,18.77
79,36,17.78,21.03,8.28,36.33,16.59
80,65,17.31,21.25,8.79,35.83,16.82
81,43,13.82,23.71,8.79,35.26,18.42
82,58,17.88,20.28,8.73,37.26,15.85
83,32,17.88,21.09,7.76,36.54,16.73
84,55,13.54,23.99,9.68,34.64,18.15
85,46,18.67,20.15,7.62,37.19,16.38
86,52,15.52,22.13,9.78,35.25,17.32
87,04,16.19,22.02,8.81,36.26,16.71
88,2B,14.93,21.05,10.75,33.66,19.6
89,09,16.42,21.43,8.26,36.3,17.58
90,15,17.41,19.74,8.35,37.28,17.22
91,2A,15.17,20.99,10.63,33.56,19.66
92,05,14.53,23.0,8.84,35.16,18.48
93,90,11.97,25.05,12.37,31.24,19.37
94,23,19.34,18.88,7.99,38.27,15.52
95,48,15.35,21.8,9.61,35.55,17.68
