,DEP,Ainés,Enfants,Juniors,Masters,Séniors,%Ainés,%Enfants,%Juniors,%Masters,%Séniors
0,59,250995,683402,341573,751783,497994,9.94,27.06,13.52,29.76,19.72
1,75,232993,423648,392269,624676,499693,10.72,19.49,18.05,28.74,22.99
2,13,250523,472933,231466,614257,376781,12.87,24.3,11.89,31.57,19.36
3,69,189011,454022,261871,487147,355317,10.82,25.98,14.99,27.88,20.33
4,33,174439,352973,189950,464492,297222,11.79,23.86,12.84,31.4,20.1
5,62,156942,378754,163539,448453,273895,11.04,26.64,11.5,31.55,19.27
6,92,150820,398518,213314,439993,363702,9.63,25.44,13.62,28.09,23.22
7,78,137937,377483,159287,422580,285472,9.98,27.3,11.52,30.56,20.65
8,93,113103,450166,219149,412209,343217,7.35,29.27,14.25,26.8,22.32
9,77,106928,378639,167912,400232,283423,8.0,28.32,12.56,29.93,21.2
10,44,141605,341592,158587,400094,265131,10.83,26.14,12.13,30.61,20.29
11,76,144466,307675,150177,386924,227445,11.87,25.29,12.34,31.8,18.69
12,94,127671,348110,183105,385376,291390,9.56,26.06,13.71,28.85,21.82
13,31,133524,311280,191290,372113,269065,10.45,24.37,14.98,29.13,21.07
14,38,134506,315855,143085,369082,240321,11.18,26.26,11.9,30.68,19.98
15,91,112931,341803,153295,364292,255798,9.2,27.83,12.48,29.66,20.83
16,83,166431,218239,96825,348242,176608,16.54,21.69,9.62,34.6,17.55
17,06,171577,226417,112516,345834,195838,16.31,21.52,10.69,32.87,18.61
18,95,93063,338000,155594,342227,246792,7.92,28.75,13.23,29.11,20.99
19,67,119601,258140,138916,342185,215042,11.14,24.04,12.94,31.86,20.02
20,34,142054,250638,137328,339109,203042,13.25,23.38,12.81,31.63,18.94
21,57,121806,232503,117140,335260,196612,12.14,23.17,11.68,33.42,19.6
22,29,121945,204990,88029,295995,160411,13.99,23.53,10.1,33.97,18.41
23,35,108474,260684,129894,293373,199376,10.94,26.28,13.1,29.58,20.1
24,60,74764,212858,88465,246462,160172,9.55,27.19,11.3,31.49,20.46
25,56,103876,169318,65014,246144,129606,14.55,23.72,9.11,34.48,18.15
26,30,99774,171328,69165,241616,129379,14.03,24.09,9.72,33.97,18.19
27,68,86024,179536,80526,241255,145636,11.74,24.49,10.99,32.91,19.87
28,49,92530,207136,89908,238704,148013,11.92,26.68,11.58,30.75,19.07
29,42,101714,180555,80731,234466,132891,13.93,24.72,11.05,32.1,18.2
30,74,75959,193444,87637,234258,167966,10.0,25.48,11.54,30.85,22.12
31,54,83548,169463,92643,219470,135166,11.93,24.2,13.23,31.34,19.3
32,17,101227,131322,54718,217893,106170,16.56,21.48,8.95,35.64,17.37
33,64,98232,139300,64346,217253,119498,15.38,21.81,10.08,34.02,18.71
34,85,87386,155067,57677,216478,119988,13.73,24.36,9.06,34.01,18.85
35,14,83292,164022,74263,215036,122442,12.64,24.89,11.27,32.63,18.58
36,63,80347,138431,74075,206246,115169,13.08,22.54,12.06,33.58,18.75
37,45,79251,165055,72728,204645,124857,12.26,25.53,11.25,31.65,19.31
38,22,90298,135097,48708,198543,99820,15.77,23.6,8.51,34.68,17.44
39,01,62492,160869,62619,190152,124255,10.41,26.79,10.43,31.67,20.7
40,37,77304,141300,67709,186355,108326,13.31,24.32,11.65,32.08,18.64
41,71,84846,118636,47397,185826,92913,16.02,22.4,8.95,35.09,17.54
42,27,62699,152938,57409,185428,113710,10.96,26.73,10.03,32.41,19.87
43,84,72225,131209,56132,180311,97118,13.45,24.43,10.45,33.58,18.09
44,72,73158,138912,56518,176621,100877,13.4,25.44,10.35,32.34,18.47
45,80,62928,137636,66565,174513,104047,11.53,25.22,12.2,31.98,19.07
