,DEP,Non_Actifs
0,59,934397
1,13,723456
2,75,656641
3,69,643033
4,93,563269
5,92,549338
6,62,535696
7,33,527412
8,78,515420
9,77,485567
10,44,483197
11,94,475781
12,91,454734
13,76,452141
14,38,450361
15,31,444804
16,95,431063
17,06,397994
18,34,392692
19,83,384670
20,67,377741
21,35,369158
22,57,354309
23,29,326935
24,49,299666
25,60,287622
26,42,282269
27,56,273194
28,30,271102
29,74,269403
30,68,265560
31,54,253011
32,14,247314
33,45,244306
34,85,242453
35,64,237532
36,17,232549
37,22,225395
38,01,223361
39,63,218778
40,37,218604
41,27,215637
42,72,212070
43,71,203482
44,84,203434
45,80,200564
46,51,198995
47,02,193978
48,25,191299
49,50,184760
50,26,183923
51,21,183099
52,66,177190
53,28,158256
54,86,155567
55,24,149582
56,73,149495
57,81,143805
58,40,142213
59,79,136745
60,87,135559
61,11,135521
62,88,132700
63,16,125581
64,03,125486
65,41,123906
66,47,123764
67,89,123117
68,53,117099
69,07,115956
70,18,111836
71,10,111096
72,61,104797
73,12,101923
74,08,99747
75,39,94536
76,82,94071
77,19,87374
78,70,84483
79,65,83334
80,36,83096
81,43,80845
82,58,76964
83,32,69916
84,55,67278
85,52,64045
86,46,63547
87,04,58934
88,2B,58389
89,09,54369
90,2A,52233
91,90,51171
92,15,50901
93,05,49725
94,23,42861
95,48,25828
