,DEP,SumMG,Micro,Petite,Moyenne,Grande,Sum,%Petite,%Moyenne,%Grande,%SumMG
0,75,3106,91204,16472,2470,636,19578,84.14,12.62,3.25,15.86
1,92,2584,28530,6569,1825,759,9153,71.77,19.94,8.29,28.23
2,69,1913,37712,8174,1574,339,10087,81.03,15.6,3.36,18.97
3,59,1896,35649,7880,1549,347,9776,80.61,15.84,3.55,19.39
4,13,1527,41051,7005,1294,233,8532,82.1,15.17,2.73,17.9
5,44,1269,22690,4957,1075,194,6226,79.62,17.27,3.12,20.38
6,93,1170,26465,4585,888,282,5755,79.67,15.43,4.9,20.33
7,31,1122,24110,4846,927,195,5968,81.2,15.53,3.27,18.8
8,94,1112,21668,4301,849,263,5413,79.46,15.68,4.86,20.54
9,33,1098,28875,5452,940,158,6550,83.24,14.35,2.41,16.76
10,78,1060,21773,4080,832,228,5140,79.38,16.19,4.44,20.62
11,91,981,18222,3741,788,193,4722,79.22,16.69,4.09,20.78
12,76,938,18616,4104,764,174,5042,81.4,15.15,3.45,18.6
13,38,934,22173,4302,788,146,5236,82.16,15.05,2.79,17.84
14,77,918,21031,4293,756,162,5211,82.38,14.51,3.11,17.62
15,35,885,17132,3736,748,137,4621,80.85,16.19,2.96,19.15
16,67,884,20721,4190,705,179,5074,82.58,13.89,3.53,17.42
17,62,868,18393,3872,749,119,4740,81.69,15.8,2.51,18.31
18,95,776,17506,3413,633,143,4189,81.48,15.11,3.41,18.52
19,06,664,29191,4195,569,95,4859,86.33,11.71,1.96,13.67
20,49,643,12448,2726,556,87,3369,80.91,16.5,2.58,19.09
21,57,637,15255,3051,517,120,3688,82.73,14.02,3.25,17.27
22,34,607,22300,3553,521,86,4160,85.41,12.52,2.07,14.59
23,60,560,11298,2169,461,99,2729,79.48,16.89,3.63,20.52
24,29,548,15154,2790,466,82,3338,83.58,13.96,2.46,16.42
25,45,538,10556,2230,432,106,2768,80.56,15.61,3.83,19.44
26,42,525,13353,2717,460,65,3242,83.81,14.19,2.0,16.19
27,85,515,11461,2268,423,92,2783,81.49,15.2,3.31,18.51
28,74,502,17117,3210,435,67,3712,86.48,11.72,1.8,13.52
29,68,498,12851,2577,415,83,3075,83.8,13.5,2.7,16.2
30,14,477,12391,2279,397,80,2756,82.69,14.4,2.9,17.31
31,51,464,9021,1982,396,68,2446,81.03,16.19,2.78,18.97
32,83,460,23273,2936,408,52,3396,86.45,12.01,1.53,13.55
33,56,455,13483,2325,395,60,2780,83.63,14.21,2.16,16.37
34,01,451,10333,2120,402,49,2571,82.46,15.64,1.91,17.54
35,54,450,10219,2159,375,75,2609,82.75,14.37,2.87,17.25
36,21,427,9416,1936,357,70,2363,81.93,15.11,2.96,18.07
37,64,425,14268,2501,365,60,2926,85.48,12.47,2.05,14.52
38,63,424,11158,2098,347,77,2522,83.19,13.76,3.05,16.81
39,26,413,10324,1986,359,54,2399,82.78,14.96,2.25,17.22
40,37,405,9943,2084,345,60,2489,83.73,13.86,2.41,16.27
