,DEP,%Petite,%Moyenne,%Grande,%SumMG
0,75,84.14,12.62,3.25,15.86
1,92,71.77,19.94,8.29,28.23
2,69,81.03,15.6,3.36,18.97
3,59,80.61,15.84,3.55,19.39
4,13,82.1,15.17,2.73,17.9
5,44,79.62,17.27,3.12,20.38
6,93,79.67,15.43,4.9,20.33
7,31,81.2,15.53,3.27,18.8
8,94,79.46,15.68,4.86,20.54
9,33,83.24,14.35,2.41,16.76
10,78,79.38,16.19,4.44,20.62
11,91,79.22,16.69,4.09,20.78
12,76,81.4,15.15,3.45,18.6
13,38,82.16,15.05,2.79,17.84
14,77,82.38,14.51,3.11,17.62
15,35,80.85,16.19,2.96,19.15
16,67,82.58,13.89,3.53,17.42
17,62,81.69,15.8,2.51,18.31
18,95,81.48,15.11,3.41,18.52
19,06,86.33,11.71,1.96,13.67
20,49,80.91,16.5,2.58,19.09
21,57,82.73,14.02,3.25,17.27
22,34,85.41,12.52,2.07,14.59
23,60,79.48,16.89,3.63,20.52
24,29,83.58,13.96,2.46,16.42
25,45,80.56,15.61,3.83,19.44
26,42,83.81,14.19,2.0,16.19
27,85,81.49,15.2,3.31,18.51
28,74,86.48,11.72,1.8,13.52
29,68,83.8,13.5,2.7,16.2
30,14,82.69,14.4,2.9,17.31
31,51,81.03,16.19,2.78,18.97
32,83,86.45,12.01,1.53,13.55
33,56,83.63,14.21,2.16,16.37
34,01,82.46,15.64,1.91,17.54
35,54,82.75,14.37,2.87,17.25
36,21,81.93,15.11,2.96,18.07
37,64,85.48,12.47,2.05,14.52
38,63,83.19,13.76,3.05,16.81
39,26,82.78,14.96,2.25,17.22
40,37,83.73,13.86,2.41,16.27
41,72,80.42,16.15,3.43,19.58
42,80,81.14,15.47,3.39,18.86
43,71,82.9,14.08,3.01,17.1
44,73,85.51,13.01,1.48,14.49
45,25,83.68,14.04,2.28,16.32
46,30,84.36,13.9,1.74,15.64
47,22,83.33,15.12,1.55,16.67
48,84,85.22,12.87,1.92,14.78
49,27,82.42,14.26,3.32,17.58
51,17,86.46,12.1,1.44,13.54
52,02,82.28,14.73,2.99,17.72
53,28,82.44,15.24,2.32,17.56
54,50,84.2,13.15,2.64,15.8
55,79,82.21,15.06,2.73,17.79
56,86,83.41,13.52,3.07,16.59
57,53,80.54,15.49,3.97,19.46
58,16,82.88,14.88,2.24,17.12
59,88,84.71,12.52,2.77,15.29
60,41,82.08,14.77,3.15,17.92
61,87,84.28,13.41,2.31,15.72
62,66,87.06,10.98,1.96,12.94
63,10,83.01,14.55,2.44,16.99
64,81,84.77,13.6,1.63,15.23
65,03,83.84,13.76,2.4,16.16
66,89,83.96,13.39,2.65,16.04
67,40,86.22,12.12,1.66,13.78
68,24,86.44,11.88,1.69,13.56
69,61,83.0,14.9,2.1,17.0
70,47,86.65,12.43,0.92,13.35
71,18,84.06,13.36,2.58,15.94
73,12,85.74,13.57,0.69,14.26
74,39,85.82,12.41,1.77,14.18
75,11,87.04,12.1,0.86,12.96
77,19,85.07,12.58,2.35,14.93
78,07,84.95,12.58,2.47,15.05
79,08,84.87,12.9,2.22,15.13
80,36,83.89,14.1,2.01,16.11
81,70,83.0,14.86,2.14,17.0
82,43,85.97,12.78,1.24,14.03
83,65,85.49,13.06,1.45,14.51
84,58,82.75,15.43,1.82,17.25
85,82,86.48,11.98,1.54,13.52
86,52,84.13,13.2,2.67,15.87
87,90,79.46,16.39,4.15,20.54
88,55,85.15,11.26,3.58,14.85
89,32,85.97,12.58,1.45,14.03
90,46,86.21,11.95,1.84,13.79
91,15,86.25,12.64,1.12,13.75
92,2B,90.3,9.13,0.57,9.7
93,2A,90.12,9.0,0.88,9.88
94,05,89.86,9.67,0.48,10.14
96,09,87.05,11.89,1.06,12.95
97,04,89.0,9.65,1.35,11.0
98,23,84.8,13.98,1.22,15.2
99,48,85.45,14.18,0.37,14.55
