DEP,pop_var,VAR
01,0.9,0
02,-0.3,1
03,-0.4,1
04,0.2,0
05,0.2,0
06,0.2,0
07,0.4,0
08,-0.6,1
09,0.1,0
10,0.2,0
11,0.4,0
12,0.1,0
13,0.4,0
14,0.1,0
15,-0.3,1
16,-0.1,1
17,0.5,0
18,-0.5,1
19,0.0,0
2A,1.0,0
2B,1.0,0
21,0.1,0
22,0.1,0
23,-0.6,1
24,-0.1,1
25,0.3,0
26,0.7,0
27,0.1,0
28,-0.1,1
29,0.2,0
30,0.3,0
31,1.3,0
32,0.1,0
33,1.3,0
34,1.2,0
35,1.0,0
36,-0.7,1
37,0.3,0
38,0.5,0
39,-0.1,1
40,0.7,0
41,-0.1,1
42,0.2,0
43,0.1,0
44,1.2,0
45,0.4,0
46,0.0,0
47,-0.1,1
48,0.0,0
49,0.4,0
50,-0.2,1
51,-0.1,1
52,-0.8,1
53,0.0,0
54,0.1,0
55,-0.7,1
56,0.5,0
57,0.0,0
58,-0.9,1
59,0.1,0
60,0.3,0
61,-0.5,1
62,0.0,0
63,0.5,0
64,0.5,0
65,0.1,0
66,0.6,0
67,0.5,0
68,0.2,0
69,0.9,0
70,-0.3,1
71,-0.1,1
72,-0.1,1
73,0.5,0
74,1.2,0
75,-0.5,1
76,0.0,0
77,0.7,0
78,0.3,0
79,0.1,0
80,0.0,0
81,0.3,0
82,0.7,0
83,0.8,0
84,0.3,0
85,0.7,0
86,0.3,0
87,-0.2,1
88,-0.5,1
89,-0.3,1
90,-0.3,1
91,0.6,0
92,0.3,0
93,1.0,0
94,0.6,0
95,0.8,0
