,DEP,loyerm2
0,75,31.0
1,92,21.37
2,94,18.2
3,93,17.11
4,78,14.81
5,95,14.74
6,91,14.38
7,74,13.9
9,13,13.42
11,06,12.88
12,77,12.64
14,2A,11.96
15,83,11.82
17,60,11.19
18,2B,10.64
19,73,10.47
20,84,10.47
21,68,10.36
22,69,10.23
23,59,10.19
24,34,10.17
25,67,10.06
26,38,10.04
27,27,10.03
28,28,9.86
29,76,9.84
30,14,9.69
31,33,9.69
32,01,9.68
33,30,9.6
34,80,9.59
35,44,9.58
36,66,9.47
37,62,9.43
38,45,9.38
39,90,9.27
40,31,9.23
41,04,9.16
42,25,9.08
43,05,9.04
44,57,8.98
45,17,8.85
46,40,8.85
47,64,8.82
48,26,8.82
49,02,8.69
50,85,8.65
51,51,8.62
52,54,8.61
53,65,8.56
54,21,8.41
55,82,8.38
56,37,8.37
57,81,8.34
58,11,8.33
59,89,8.33
60,29,8.28
61,56,8.26
62,07,8.26
63,32,8.22
64,41,8.19
65,47,8.18
66,09,8.14
67,24,8.11
68,39,8.09
69,35,8.09
70,50,8.07
71,08,8.07
72,63,8.06
73,16,8.05
74,46,8.01
75,71,7.89
76,49,7.87
77,22,7.69
78,48,7.65
79,86,7.65
80,42,7.6
81,87,7.6
82,58,7.58
83,72,7.57
84,70,7.57
85,61,7.56
86,19,7.54
87,55,7.52
88,12,7.5
89,10,7.44
90,88,7.41
91,03,7.41
92,18,7.37
93,79,7.36
94,52,7.11
95,15,7.11
96,36,7.08
97,23,7.04
98,43,7.0
99,53,6.93
