,DEP,SNHM,cadre_SNHM,cadre_moyen_SNHM,employé_SNHM,travailleur_SNHM,18_25ans_SNHM,26_50ans_SNHM,>50ans_SNHM
0,75,22.2,31.9,17.2,12.3,13.2,11.8,21.7,28.3
1,92,21.9,28.6,16.6,12.6,13.5,10.8,21.5,25.8
2,78,19.1,28.2,16.3,12.2,12.75,10.2,18.549999999999997,23.3
3,91,16.700000000000003,25.7,16.0,12.1,12.5,10.1,16.3,19.9
4,95,16.3,25.3,15.8,12.0,12.3,10.1,16.0,19.4
5,94,16.3,25.5,15.7,11.6,11.9,10.2,16.2,19.6
6,69,15.8,25.6,15.2,11.3,11.8,9.7,15.7,18.4
7,77,15.4,24.3,15.7,11.6,12.3,9.9,15.25,18.25
8,31,15.1,23.6,14.7,10.7,11.4,9.6,14.7,17.4
9,06,14.65,24.799999999999997,15.0,10.95,11.6,9.5,14.55,17.0
10,13,14.649999999999999,24.7,15.0,10.8,11.7,9.6,14.6,17.35
11,38,14.4,24.0,15.1,10.9,11.6,9.7,14.4,16.5
12,63,14.0,23.7,14.6,10.6,11.4,9.5,13.55,16.35
13,73,14.0,24.25,14.649999999999999,10.8,11.8,9.8,13.8,16.2
14,37,13.9,23.7,14.4,10.7,11.2,9.6,13.8,15.6
15,90,13.850000000000001,25.15,14.45,10.5,11.45,9.4,13.6,16.2
16,60,13.7,23.5,15.1,10.9,11.7,9.6,13.7,16.2
17,67,13.7,23.95,14.6,10.7,11.6,9.6,13.649999999999999,16.0
18,74,13.6,23.8,14.6,10.8,11.8,9.8,13.7,15.350000000000001
19,93,13.6,22.799999999999997,14.850000000000001,10.7,11.1,9.8,13.6,15.25
20,33,13.5,23.0,14.3,10.5,11.2,9.3,13.4,15.3
21,45,13.5,23.8,14.9,10.6,11.2,9.7,13.4,15.5
22,68,13.350000000000001,23.95,14.5,10.3,11.350000000000001,9.5,13.3,15.649999999999999
23,01,13.3,23.7,14.5,10.7,11.3,9.6,13.4,15.2
24,76,13.3,23.9,15.1,10.4,11.5,9.7,13.0,15.3
25,64,13.2,24.1,14.2,10.4,10.9,9.4,13.0,15.5
26,35,13.1,22.3,13.9,10.5,10.8,9.4,13.2,14.4
27,83,13.1,23.55,14.3,10.4,10.9,9.3,12.95,15.5
28,84,13.1,23.4,14.5,10.4,10.8,9.2,12.9,15.5
29,42,13.05,22.85,14.25,10.4,11.05,9.6,13.1,14.6
30,51,13.0,23.9,14.4,10.4,11.2,9.7,12.8,15.0
31,59,13.0,22.5,14.3,10.3,11.1,9.5,12.9,15.0
32,44,13.0,22.2,14.1,10.3,11.2,9.5,13.1,14.5
33,26,13.0,23.3,14.3,10.4,10.9,9.4,13.1,15.1
34,21,12.9,23.05,14.1,10.350000000000001,10.95,9.4,12.6,14.850000000000001
35,34,12.9,22.8,14.2,10.3,10.7,9.2,12.8,15.0
36,86,12.9,23.0,14.1,10.3,10.8,9.4,12.6,15.0
37,28,12.9,23.6,14.5,10.7,11.2,9.6,13.0,15.1
38,07,12.9,23.7,14.1,10.2,10.8,9.5,12.4,14.7
39,54,12.9,22.7,14.350000000000001,10.2,11.2,9.4,12.7,14.649999999999999
40,41,12.9,23.9,14.3,10.4,10.7,9.4,12.8,15.0
41,27,12.850000000000001,23.4,14.649999999999999,10.45,11.2,9.6,12.8,14.75
42,87,12.850000000000001,22.65,14.05,10.3,10.9,9.4,12.6,14.7
43,04,12.8,22.6,14.2,10.1,10.9,9.4,12.7,14.7
45,14,12.7,23.1,14.1,10.1,10.8,9.2,12.4,14.4
46,30,12.649999999999999,22.25,14.4,10.149999999999999,10.9,9.25,12.6,14.5
47,57,12.6,23.3,14.4,10.0,11.2,9.4,12.4,14.8
48,16,12.6,23.3,14.0,10.4,10.6,9.3,12.3,14.4
49,25,12.6,22.8,14.0,10.2,11.0,9.4,12.5,14.6
50,72,12.5,22.6,14.2,10.25,11.1,9.4,12.5,14.149999999999999
51,71,12.5,23.4,14.3,10.1,11.0,9.4,12.3,14.2
52,89,12.45,23.05,14.2,10.149999999999999,10.7,9.3,12.25,14.3
53,29,12.4,22.7,13.8,10.1,10.7,9.2,12.2,14.0
54,50,12.4,22.9,14.350000000000001,10.0,10.7,9.5,12.2,14.1
55,17,12.4,22.8,13.95,10.0,10.6,9.1,12.1,14.3
56,39,12.3,23.1,14.0,10.2,10.5,9.3,12.0,14.0
57,49,12.3,22.5,13.6,10.3,10.6,9.3,12.3,14.0
58,18,12.3,21.9,14.25,10.149999999999999,10.9,9.4,12.2,13.85
59,62,12.25,22.05,13.9,10.1,11.0,9.4,12.149999999999999,14.0
60,08,12.25,23.25,14.25,9.9,11.1,9.4,12.05,13.55
61,19,12.25,22.700000000000003,13.9,9.9,10.5,9.3,12.0,14.05
62,10,12.25,23.4,14.0,9.95,10.45,9.4,12.15,13.7
63,81,12.25,22.1,13.649999999999999,10.0,10.4,9.2,12.0,13.9
64,56,12.25,22.45,13.8,10.1,10.6,9.2,12.1,13.75
65,09,12.25,22.85,13.7,9.9,10.6,9.25,11.9,13.65
66,02,12.2,22.4,14.05,10.1,10.850000000000001,9.3,12.05,13.850000000000001
67,22,12.2,22.6,13.8,10.1,10.5,9.3,12.0,14.1
68,80,12.2,22.7,14.0,10.0,11.0,9.4,11.9,14.1
69,43,12.149999999999999,22.45,13.7,10.149999999999999,10.7,9.4,12.0,13.55
70,03,12.1,22.3,13.9,10.0,10.8,9.2,11.9,13.7
71,23,12.1,22.3,13.5,9.7,10.0,9.2,11.6,14.1
72,52,12.1,22.549999999999997,13.7,10.149999999999999,10.55,9.5,11.8,13.7
73,53,12.1,23.55,13.649999999999999,10.25,10.6,9.3,12.05,13.7
74,32,12.1,21.4,13.4,9.9,10.2,9.2,12.0,14.1
75,82,12.1,22.5,14.0,9.9,10.4,9.2,11.9,14.3
76,46,12.1,22.2,13.5,9.7,10.1,9.2,11.6,14.3
77,12,12.1,22.05,13.55,10.05,10.9,9.3,11.95,13.8
78,70,12.05,22.6,13.55,9.9,10.55,9.25,11.7,13.5
79,2B,12.05,22.3,15.25,10.2,10.649999999999999,9.25,11.45,14.65
80,88,12.05,22.05,13.7,9.9,10.5,9.25,11.9,13.0
81,55,12.0,23.0,14.0,9.9,10.8,9.3,11.9,13.3
82,2A,12.0,22.8,14.7,10.2,10.7,9.4,11.9,15.3
83,05,12.0,21.1,13.7,9.9,11.0,9.3,11.8,13.8
84,40,12.0,22.5,14.0,10.0,10.7,9.3,12.0,14.1
85,58,11.95,22.45,14.0,9.9,10.850000000000001,9.4,11.6,13.65
86,79,11.95,22.7,13.7,10.55,10.25,9.3,11.75,13.649999999999999
87,65,11.9,22.05,13.7,9.8,10.75,9.3,11.6,13.6
88,66,11.9,22.1,13.5,10.0,10.3,9.0,11.7,13.7
89,24,11.9,21.65,13.649999999999999,9.95,10.350000000000001,9.1,11.7,13.649999999999999
90,85,11.850000000000001,22.2,13.4,10.05,10.6,9.3,11.9,13.2
91,36,11.7,22.2,14.0,9.9,10.4,9.2,11.5,13.5
92,11,11.7,21.7,13.8,9.9,10.1,8.9,11.5,13.4
93,61,11.7,22.9,13.5,9.9,10.5,9.2,11.5,13.7
94,47,11.7,22.4,13.6,9.95,10.25,9.05,11.6,13.4
95,15,11.4,21.2,13.7,9.8,10.0,9.1,11.2,13.3
96,48,11.3,21.2,13.1,10.0,10.0,9.0,11.1,12.9
