,DEP,indus,const,CTRH,InfoComm,FinAss,Immo,STServAdmi,ApESS,AutreServ,TOT
0,01,3395,6058,10314,830,1427,1548,6226,5596,3707,39101
1,02,1736,3435,6768,405,710,997,3163,3187,2341,22742
2,03,1541,2683,6095,313,617,702,2450,2616,1852,18869
3,04,1083,2275,4476,269,371,562,2128,2373,1376,14913
4,05,984,1850,3982,273,367,623,1685,3581,1521,14866
5,06,5865,20968,38043,4380,4397,10321,26931,18276,11306,140487
6,07,2111,3699,6928,408,563,788,2795,3188,2160,22640
7,08,1388,2068,4325,194,461,434,1573,1778,1450,13671
8,09,1220,1851,3138,185,287,446,1466,1767,1100,11460
9,10,1442,2508,4997,398,621,708,2385,2144,1690,16893
10,11,1791,4269,8819,445,646,1414,3545,3935,2579,27443
11,12,2112,3008,5350,288,567,817,2497,2732,1700,19071
12,13,9479,22791,53673,6258,6282,8884,34608,30581,14192,186748
13,14,2825,5911,13218,1167,1761,1706,6930,6065,4315,43898
14,15,856,1359,2865,111,251,326,1027,1186,693,8674
15,16,1991,3335,6394,443,908,793,2929,2705,2199,21697
16,17,3592,7402,14679,1100,1891,2376,7021,6657,4636,49354
17,18,1412,2191,4499,248,522,717,1990,1940,1554,15073
18,19,1456,2281,4479,275,502,561,2066,2114,1424,15158
19,21,2326,4255,10175,829,1293,1651,5967,4943,2973,34412
20,22,2715,5005,10000,786,1398,1341,5050,4850,3004,34149
21,23,729,1029,1900,126,208,208,816,933,676,6625
22,24,2437,4878,9566,479,919,1179,4154,3744,2978,30334
23,25,2576,3847,8625,675,1178,1415,4453,4837,2854,30460
24,26,3318,5927,11426,902,1316,1725,6004,6080,3648,40346
25,27,2387,5669,9676,837,1052,1240,5062,3642,3311,32876
26,28,1753,3583,6780,710,923,871,3768,2756,2234,23378
27,29,3961,6690,13531,1160,2047,2100,7180,8298,4423,49390
28,2A,1068,3658,6221,343,447,1179,3064,2178,1445,19603
29,2B,1358,3492,6024,360,443,1290,2874,2272,1450,19563
30,30,3965,9939,17373,1319,1575,2335,8704,8496,5393,59099
31,31,5298,14198,26152,4135,3741,4508,21013,19108,8809,106962
32,32,1288,2396,3929,272,429,731,2089,1935,1259,14328
33,33,6985,18424,37380,4595,5717,6125,25416,21305,12080,138027
34,34,6535,17040,30962,3680,3120,5610,18961,17151,9389,112448
35,35,4398,6880,16345,2343,3691,2691,11727,10067,5316,63458
36,36,1103,1567,3227,204,395,494,1474,1472,1160,11096
37,37,2421,4300,9399,1096,1362,1681,5827,5957,3346,35389
38,38,6236,13648,23538,2915,2974,3750,15931,15311,7606,91909
39,39,1827,2363,4772,298,607,718,2025,2181,1509,16300
40,40,2062,4070,8223,519,959,1425,4368,4619,3002,29247
41,41,1550,2561,5099,360,620,765,2456,2327,1701,17439
42,42,4050,6865,13548,1029,2094,2382,6795,6926,4015,47704
43,43,1725,2218,4118,257,567,540,1624,1961,1239,14249
44,44,6160,11325,22690,3664,4575,4745,18235,14317,7899,93610
45,45,2343,5426,10622,1043,1227,1345,5989,4761,3697,36453
46,46,1199,2124,3885,236,364,458,1810,1682,1220,12978
47,47,1848,3333,6598,372,938,824,3165,2873,2172,22123
48,48,550,775,1699,85,107,195,553,687,411,5062
49,49,3726,5502,11041,1080,2241,2160,7145,6709,4118,43722
50,50,2015,3221,7856,434,1002,1002,3349,3476,2496,24851
51,51,2552,4118,9187,731,1331,1488,4937,4417,3085,31846
52,52,921,1196,2657,133,275,315,917,1038,868,8320
53,53,1369,2026,3949,313,803,608,2535,1835,1447,14885
54,54,2656,5101,10729,1122,1388,1392,5538,6076,3594,37596
55,55,881,1305,2551,120,293,380,1014,1108,915,8567
56,56,3831,6417,12943,1119,1885,2230,7326,7521,4307,47579
