,DEP,indus,const,CTRH,InfoComm,FinAss,Immo,STServAdmi,ApESS,AutreServ,TOT
0,01,8,15,26,2,3,3,15,14,9,39101
1,02,7,15,29,1,3,4,13,14,10,22742
2,03,8,14,32,1,3,3,12,13,9,18869
3,04,7,15,30,1,2,3,14,15,9,14913
4,05,6,12,26,1,2,4,11,24,10,14866
5,06,4,14,27,3,3,7,19,13,8,140487
6,07,9,16,30,1,2,3,12,14,9,22640
7,08,10,15,31,1,3,3,11,13,10,13671
8,09,10,16,27,1,2,3,12,15,9,11460
9,10,8,14,29,2,3,4,14,12,10,16893
10,11,6,15,32,1,2,5,12,14,9,27443
11,12,11,15,28,1,2,4,13,14,8,19071
12,13,5,12,28,3,3,4,18,16,7,186748
13,14,6,13,30,2,4,3,15,13,9,43898
14,15,9,15,33,1,2,3,11,13,7,8674
15,16,9,15,29,2,4,3,13,12,10,21697
16,17,7,14,29,2,3,4,14,13,9,49354
17,18,9,14,29,1,3,4,13,12,10,15073
18,19,9,15,29,1,3,3,13,13,9,15158
19,21,6,12,29,2,3,4,17,14,8,34412
20,22,7,14,29,2,4,3,14,14,8,34149
21,23,11,15,28,1,3,3,12,14,10,6625
22,24,8,16,31,1,3,3,13,12,9,30334
23,25,8,12,28,2,3,4,14,15,9,30460
24,26,8,14,28,2,3,4,14,15,9,40346
25,27,7,17,29,2,3,3,15,11,10,32876
26,28,7,15,29,3,3,3,16,11,9,23378
27,29,8,13,27,2,4,4,14,16,8,49390
28,2A,5,18,31,1,2,6,15,11,7,19603
29,2B,6,17,30,1,2,6,14,11,7,19563
30,30,6,16,29,2,2,3,14,14,9,59099
31,31,4,13,24,3,3,4,19,17,8,106962
32,32,8,16,27,1,2,5,14,13,8,14328
33,33,5,13,27,3,4,4,18,15,8,138027
34,34,5,15,27,3,2,4,16,15,8,112448
35,35,6,10,25,3,5,4,18,15,8,63458
36,36,9,14,29,1,3,4,13,13,10,11096
37,37,6,12,26,3,3,4,16,16,9,35389
38,38,6,14,25,3,3,4,17,16,8,91909
39,39,11,14,29,1,3,4,12,13,9,16300
40,40,7,13,28,1,3,4,14,15,10,29247
41,41,8,14,29,2,3,4,14,13,9,17439
42,42,8,14,28,2,4,4,14,14,8,47704
43,43,12,15,28,1,3,3,11,13,8,14249
44,44,6,12,24,3,4,5,19,15,8,93610
45,45,6,14,29,2,3,3,16,13,10,36453
46,46,9,16,29,1,2,3,13,12,9,12978
47,47,8,15,29,1,4,3,14,12,9,22123
48,48,10,15,33,1,2,3,10,13,8,5062
49,49,8,12,25,2,5,4,16,15,9,43722
50,50,8,12,31,1,4,4,13,13,10,24851
51,51,8,12,28,2,4,4,15,13,9,31846
52,52,11,14,31,1,3,3,11,12,10,8320
53,53,9,13,26,2,5,4,17,12,9,14885
54,54,7,13,28,2,3,3,14,16,9,37596
55,55,10,15,29,1,3,4,11,12,10,8567
56,56,8,13,27,2,3,4,15,15,9,47579
57,57,6,15,29,2,3,3,13,15,10,53991
58,58,8,15,31,1,2,3,12,13,10,11039
59,59,5,10,30,3,3,4,17,15,8,141321
60,60,6,14,30,2,3,4,16,12,9,42648
61,61,9,16,28,1,3,4,13,12,10,14351
62,62,6,13,31,1,3,3,13,16,10,63258
63,63,7,14,28,2,3,3,14,15,9,41336
64,64,6,13,25,2,3,5,16,17,9,55424
65,65,6,14,29,1,2,4,12,18,9,16984
66,66,5,15,30,2,2,5,13,15,9,39121
67,67,6,12,27,3,3,4,17,15,8,76599
68,68,7,12,30,2,3,4,15,14,9,44197
69,69,5,10,25,4,4,4,23,14,6,164038
70,70,9,16,30,1,2,4,12,12,9,12166
71,71,8,14,30,1,3,3,14,14,9,31223
72,72,8,13,28,2,4,4,14,13,10,25943
73,73,5,12,25,1,2,5,14,23,8,44145
74,74,5,13,25,2,3,5,16,18,9,69837
75,75,3,6,22,9,5,5,32,9,5,490838
76,76,6,12,30,2,4,3,15,14,9,62846
77,77,5,15,30,4,2,3,17,12,8,89309
78,78,3,11,24,6,3,4,24,14,7,105217
79,79,9,14,26,2,5,5,13,13,9,19008
80,80,7,12,31,2,3,4,13,15,9,26579
81,81,9,14,26,2,2,4,13,17,9,26094
82,82,6,16,28,1,3,3,14,14,9,17006
83,83,5,16,28,1,2,5,16,13,8,105160
84,84,6,16,29,2,2,4,15,13,8,51910
85,85,9,14,27,1,4,5,14,12,9,40063
86,86,8,13,26,2,4,5,15,14,10,23003
87,87,8,13,27,2,4,4,14,15,10,20524
88,88,10,15,30,1,3,3,12,11,9,21913
89,89,8,15,29,2,3,4,14,12,9,18823
90,90,6,15,28,2,2,3,14,15,10,6986
91,91,4,15,29,5,2,3,19,12,7,84748
92,92,3,7,23,9,4,4,28,11,6,159466
93,93,3,20,37,4,1,2,15,7,5,137443
94,94,3,12,30,6,2,3,21,11,7,103531
95,95,4,16,33,5,2,3,18,10,6,87021
